Cidade;População;Area;Densidade_Recalculada;Total
Piracicaba;438827;1378,069;0.3184361596;11744
Morro Agudo;28561;1388,127;0.02057520674;654
Cunha;22456;1407,250;0.01595736365;220
Botucatu;150442;1482,642;0.1014688644;2481
São Paulo;11895578;1521,202;7.819854299;1618990
Teodoro Sampaio;22559;1555,803;0.01449990776;273
Barretos;126600;1566,161;0.0808346013;6252
Rancharia;29305;1587,498;0.01845986578;458
Capão Bonito;47403;1640,229;0.02890023283;847
Eldorado;13162;1654,256;0.007956446886;109
Itapetininga;163774;1789,350;0.09152709084;3798
Itapeva;92324;1826,258;0.05055364576;1708
Iguape;29881;1978,795;0.01510060416;685
